Cluster 1,Cluster 2,Cluster 3
0,50,70
4,52,127
7,76,123
9,54,72
1,58,133
2,65,83
3,51,101
6,56,113
11,85,121
17,75,142
10,74,149
5,97,138
18,61,126
19,78,146
16,55,103
33,66,116
15,84,128
32,96,104
46,67,124
21,69,112
26,53,120
23,80,139
31,81,141
20,79,145
27,89,115
28,59,110
35,82,147
12,71,137
25,92,136
29,94,148
24,88,140
30,95,143
34,99,144
39,90,132
37,63,100
40,73,102
49,91,125
45,86,129
47,77,105
8,57,122
13,93,107
38,60,130
42,98,108
48,62,109
36,64,114
43,68,117
44,87,118
14,106,131
22,119,134
41,,135
